Transcription_N,Class
"es ging um das Outlook der [fa] in  [ort] dass wir von der Kapazität her erweitern wollten allerdings  rief ich  anscheinend eine falsche Telefonnummer an und wurde dann von einem Kollegen  weiterverbunden und  die Dame die ich danach dran hatte sie sagte dass ich beim Privatkunden Bereich bin wofür ich ja leider nichts für kann ich sie gebeten habe mir  mich durchzustellen zum Business Bereich und  sie mir dann sagte ich wäre es  selber Schuld da keinen Support  bekommen zu können weil ich Business Kunde bin da hab' ich  sie gefragt  was denn mit dem Kollegen ist denn ihm hatte ich ja schon die Kundennummer durchgegeben diesbezüglich hat er ja  dann auch  im Kontakt sehen können dass wir Business Kunden sind hat mich leider nicht darauf aufmerksam gemacht und daraufhin hat die Dame einfach aufgelegt",b
"weiter",0
"na wohl ab ich habe vor zehn Minuten das erste Mal bei Ihnen angerufen bin dann nach ungefähr einer Minute einfach abgewürgt worden hab' dann das zweite Mal angerufen bin dann noch mal eben nicht nach einer Minute ungefähr abgewürgt worden  das heißt  die Ansage hab' ich noch mitgehört und dann auf einmal ist das Gespräch beendet worden das zweimal hintereinander und jetzt das dritte Mal hab' ich drei Minuten gewartet und dann hat man mir gesagt dass man mich leider nicht verbinden kann der Service ist denk' ich doch mehr wie ungenügend  weiter",a
"ja schönen guten Tag mein Name ist  ich hab' mit dem Herr  gerade länger gesprochen  muss sagen sehr zuvorkommend sehr nett und  wenn das in die Tat umgesetzt wird was leider in Vergangenheit    negativ gelaufen ist was besprochen ist leider gibt's da ja nicht immer schriftlich zu zu jedem Statement bei Ihnen  dass dass man dann auf Gutschriften wartet und dass ein Tarif doch nicht umgestellt wurde  ich geh' davon aus dass das was besprochen wurde umgesetzt wird  muss ich sagen äußerst zufrieden mit dem Gespräch noch mal sehr nett sehr zuvorkommend kompetent beraten hat mich sehr gefreut find' ich nicht immer so bei Ihnen  ich glaub' dass ist dem Herrn   auch selbst ein ganz großes Stück zuzuordnen vielen Dank auf Wiederhören",1
"also Sie haben mein Gespräch unterbrochen mit diesen  Fragen",a
"ich war mit dem Gespräch von der Servicemitarbeiterin sehr zufrieden sie ist mir sehr entgegengekommen und hat mein Problem zur vollen Zufriedenheit denk' ich bearbeitet wenn alles klappt das wissen wir ja jetzt noch nicht aber davon gehen wir ja jetzt mal aus gut das war's danke",0
"der Mitarbeiter war äußerst zuvorkommend freundlich und hat mir wirklich weitergeholfen",0
"mit dem Berater war ich sehr zufrieden der war sehr höflich und zuvorkommend aber mit dem Ergebnis dass da rausgekommen ist bin ich sehr unzufrieden aber da kann ja der Berater nichts da zu",0
"kompetent freundlich schnell",0
"weiter ganz hervorragende und freundliche Beratung und Betreuung sehr netter Kollege am Apparat",1
"ja ich war zufrieden mit der Beratung ich war auch sehr der Berater war auch sehr nett hat mir sehr gut geholfen und  ich war sehr sehr zufrieden mit dem Herrn und hat mein Problem und  gelöst",0
"die Sache die Sache war sehr gut der Mann hat mir gut geantwortet er war er war sehr positiv und mir hat das gefallen wie er mich bedient hat also   bedient hat und  mir das gesagt hat die Auskunft war sehr gut",1
"weiter",0
"ich kam gar nicht mal durch ich hab' jetzt ewig gewartet  anscheinend wär's  überlastet ich find's nicht gut wenn man als Kunde anruft und trotzdem immer die ganze Zeit warten muss find' ich ist einfach kein gute Sache sollte verbessert werden",e
"ich kam gar nicht mal durch ich hab' jetzt ewig gewartet  anscheinend wär's  überlastet ich find's nicht gut wenn man als Kunde anruft und trotzdem immer die ganze Zeit warten muss find' ich ist einfach kein gute Sache sollte verbessert werden",a
"es ist schon sehr bedauerlich wenn Angestellte der Deutschen Telekom der Meinung sind es gäbe kein Windows  $P mehr",d
"die letzte Beratung war sehr unkompetent und sehr unfreundlich",d
"aha ich fand' nicht gut dass ich einfach unterbrochen wurde mitten im Satz oder wenn ich Fragen gestellt hab' und kam mir da leicht bevormundet vor  ich finde man sollte seine Kunden aussprechen lassen und dann antworten ja das war's auch schon",d
"das Gespräch war freundlich korrekt   war alles in Ordnung  aber womit ich dann aber nicht mehr zufrieden bin ist einfach  die Dauer der Reparatur einer Störung ich bin auf meinen Anschluss irgendwie angewiesen habe seit über einer Woche keine Möglichkeit mehr ins Internet zu gehen  hier online meine Berichte zu schreiben und ich kann auch nicht mehr telefonieren übers Festnetz das ärgert mich obwohl das Gespräch sehr freundlich war",3
"ich war sehr zufrieden mit dem Gespräch und auch mit der Beratung",1
"weiter weiter",1
"ich war mit dem telefonischen Gespräch sehr zufrieden aber die Rechnung wurde von der Telekom falsch  gemacht und somit bin ich da in der Hinsicht von dieser Kundendienst Leistung nicht zufrieden weiter",4
"weiter weiter",0
"weiter also ich war mit dem Techniker und dem Anruf sehr zufrieden  nun mach' hin da",0
"weiter",0
"äußerst zufrieden",0
"ich werd' die Minuten nicht brauchen ich war mit dem  Gespräch sehr zufrieden jetzt hab' ich den Namen des Mitarbeiters  wieder vergessen irgendwas mit  oder so  er ist auf alle Fragen eingegangen wir hatten eine sehr schnelle Übereinstimmung über das Thema um was es geht und  alle Fragen für meinen Neuanschluss wurden  so beantwortet dass ich damit was anfangen kann das heißt ich fühl' mich jetzt sicher genug um  den Neuanschluss  zu konfigurieren weiter",1
"ich rufe bereits zum dritten Mal an habe eine Warteschleife von ungefähr fünfzehn Minuten ist das halt üblich bei Telekom oder wie seh' ich das",e
"ich rufe bereits zum dritten Mal an habe eine Warteschleife von ungefähr fünfzehn Minuten ist das halt üblich bei Telekom oder wie seh' ich das",a
"der Herr Kollege Herr  eben war sehr freundlich hat versucht das Ganze auch weiterzuleiten noch mal  mit der Leistung allgemein der Telekom bin ich im Moment nicht so zufrieden das hat aber nichts mit dem Mitarbeiter zu tun vom Servicecenter von mit dem war ich zufrieden der war sehr höflich sehr nett hat sich meiner angenommen ich hoffe dass das jetzt auch irgendwann mal eine Lösung gibt  ja",0
"sehr nettes informatives Gespräch danke dafür",1
"ja ich kann nicht großartigartig was dazu sagen weil die Mitarbeiterin mit der ich gerade gesprochen habe mich aus der Leitung geschmissen hat weil sie nicht mehr hören wollte was ich zu sagen habe",b
"ja ich kann nicht großartigartig was dazu sagen weil die Mitarbeiterin mit der ich gerade gesprochen habe mich aus der Leitung geschmissen hat weil sie nicht mehr hören wollte was ich zu sagen habe",d
"ja sorry wo was soll ich da abwarten wenn ich da rausgeschmissen werde und die Sache ist noch nicht     beendet was soll ich da mit dem Roboter schwätzen ich brauch' den Mitarbeiter damit man das klären kann ganz einfach ist das",a
"ich musste fünf Minuten auf die Verbindung zu einem warten und dann hab' ich gerade angefangen  zu erzählen und dann war der Kundenberater weg und ich war hier in dieser  Bewertung in diesem BEwertungs Programm",e
"ich musste fünf Minuten auf die Verbindung zu einem warten und dann hab' ich gerade angefangen  zu erzählen und dann war der Kundenberater weg und ich war hier in dieser  Bewertung in diesem BEwertungs Programm",b
"nachdem ich jetzt schon zum fünften Mal angerufen hab'  ist natürlich  ganz klar dass ich unzufrieden bin über den Service  denn keiner der Mitarbeiter war bereit meine Bestellung entgegenzunehmen",1
"nachdem ich jetzt schon zum fünften Mal angerufen hab'  ist natürlich  ganz klar dass ich unzufrieden bin über den Service  denn keiner der Mitarbeiter war bereit meine Bestellung entgegenzunehmen",a
"weiter",0
"hallo [nach] ist mein Name ich  bin Kundin  wir haben das Entertain Paket und  ich sitze jetzt schon seit dreieinhalb Stunden am Telefon habe verschiedene Leute in der technischen Abteilung gesprochen  und  mittlerweile geht gar nichts mehr kein Internetzugang kein Fernseher und gar nichts und  einer der Herren ja hat also mir leider überhaupt nicht weiter helfen können und   und   ich weiß jetzt auch nicht weiteres ist ein bisschen frustrierend weil wir überhaupt nicht weiterkommen und ich keine Lösung finde das ist jetzt ungefähr mein sechster Versuch  das Problem zu beheben und aller Versuche bislang haben zu nichts geführt   also kein Internet kein Wlan kein keine Möglichkeit irgendwie  ins Internet zu kommen kein Fernsehen das ist ist eine Katastrophe also das ist meine Meinung",1
"hallo [nach] ist mein Name ich  bin Kundin  wir haben das Entertain Paket und  ich sitze jetzt schon seit dreieinhalb Stunden am Telefon habe verschiedene Leute in der technischen Abteilung gesprochen  und  mittlerweile geht gar nichts mehr kein Internetzugang kein Fernseher und gar nichts und  einer der Herren ja hat also mir leider überhaupt nicht weiter helfen können und   und   ich weiß jetzt auch nicht weiteres ist ein bisschen frustrierend weil wir überhaupt nicht weiterkommen und ich keine Lösung finde das ist jetzt ungefähr mein sechster Versuch  das Problem zu beheben und aller Versuche bislang haben zu nichts geführt   also kein Internet kein Wlan kein keine Möglichkeit irgendwie  ins Internet zu kommen kein Fernsehen das ist ist eine Katastrophe also das ist meine Meinung",3
"super kompetente Aussagen bekommen mein Problem wurde richtig super gelöst",1
"so mein Name ist [vorn]  ich bin lange Jahre Kunde bei Telekom im Festnetz sowie auch mit meinem Handy ich persönlich bin zufrieden es geht aber jetzt  bei auch diesem Gespräch was ich für den Kundeberater  angemeldet habe um meine Frau  das Handy meiner Frau haben wir gekündigt und dazu können Sie das nachher  ich hab' ja ja gesagt wenn ich mit dem Kundenberater gesprochen habe das Gespräch wird ja aufgezeichnet das können Sie ja nachher verfolgen   da sind nämlich etliche Unstimmigkeiten und dazu möcht' ich ja jetzt auch gerne den Kundenberater sprechen das wär's schon mal vorab",1
"so   zwei",0
"der Techniker war kompetent und sehr freundlich",0
"mit dem Gespräch an sich war ich zufrieden  nur das Gespräch war nur das Gespräch ist innerhalb von sechzig Sekunden zu Ende gewesen aber ich habe vier Minuten drauf gewartet um an eine freie Stelle zu bekommen und das finde ich verdammt lästig",0
"die Auskunft war  sehr in Ordnung",1
"ein sehr angenehmer Mitarbeiter  danke tschüss",0
"der Service war ganz ausgezeichnet an ist schnell weiter vermittelt worden und  ich hab' eine  kompetente und für mich sehr zufrieden stellende Antwort bekommen",1
"ja ich möchte mich an dieser Stelle sehr sehr recht herzlich bedanken  bei der Frau die mir gerade geholfen hat  war eine sehr sehr kompetentes  und  sehr sehr gutes Gespräch das freut mich das es also das ist wirklich Service Qualität  so wie ich sie mir vorstelle war wirklich eins noch mal vielen Dank an die Dame dass sie mir so nett geholfen hat vielen Dank und tschüss",1
"weiter",0
"weiter",0
"weiter",0
"ja ich habe mit einem Herrn  gesprochen und bin sehr sehr sehr sehr gut beraten worden super toll danke schön",1
"also das Gespräch von Ihrer Kollegin  wurde beendet indem sie einfach den Hörer aufgelegt hat das ist eine große Schweinerei muss ich Ihnen mal sagen so können Sie nicht mit Kunden umgehen hier",b
"weiter  weiter",0
"das geführte Gespräch war eben sehr angenehm es ging um eine Reklamation gleichzeitig um einen  Hinweis eine Mahnung und die Weiterleitung dass die Zahlung geleistet wurde die Kollegin hat das sehr perfekt gelöst  ich würde mir wünschen dass das öfter so ist es ist leider auch manchmal der Fall das es  da zu sehr langen Wartezeiten kommt vielen Dank",1
"das geführte Gespräch war eben sehr angenehm es ging um eine Reklamation gleichzeitig um einen  Hinweis eine Mahnung und die Weiterleitung dass die Zahlung geleistet wurde die Kollegin hat das sehr perfekt gelöst  ich würde mir wünschen dass das öfter so ist es ist leider auch manchmal der Fall das es  da zu sehr langen Wartezeiten kommt vielen Dank",4
"ja es war alles in Ordnung danke",0
"also ich bin mit dem Service von Telekom zu neun und neunzig komme neun neun neun Prozent zufrieden ich finde es ganz toll dass hier immer freundliche Mitarbeiter sind dass auch eine technische Hotline da ist wo man weiter verbunden wird wenn es dann spezielle Fragen zu Handy gibt die Leute sind fachkompetent immer sehr freundlich und ja es kommt auch oft Menschlichkeit rüber ich  bin deshalb auch ein sehr zufriedenerer Telekom Kunde und  ja wenn nicht gravierende Preiserhöhungen oder sonst irgendwo kommen bleib' ich Euch auch treu",1
"weiter",0
"weiter weiter",0
"weiter",0
"weiter",0
"weiter",0
"ich bin fünf und achtzig Jahre alt und habe mit Frau [vorn]   und sie war also sehr höflich sehr freundlich hat mich umfassend unterrichtet hat Verständnis gezeigt wenn ich was nicht verstanden habe prächtig sehr gut eine eins",1
"weiter",0
"es geht   es geht um den Schaden in Duisburg  nach dreimaligem Besuch im T-Point Center und fünfmaligem Anruf bei Ihrem Servicecenter und jedes Mal bekommt man eine andere Auskunft die Störung ist aufgetreten am Samstag Vormittag heute ist Donnerstag Vormittag die Telefonleitung ist immer noch tot  jetzt beim letzten Gespräch wurde ich einfach von Ihrem Service Mitarbeiter getrennt das kann irgendwo nicht Ihren Ansprüchen genügen danke",3
"es geht   es geht um den Schaden in Duisburg  nach dreimaligem Besuch im T-Point Center und fünfmaligem Anruf bei Ihrem Servicecenter und jedes Mal bekommt man eine andere Auskunft die Störung ist aufgetreten am Samstag Vormittag heute ist Donnerstag Vormittag die Telefonleitung ist immer noch tot  jetzt beim letzten Gespräch wurde ich einfach von Ihrem Service Mitarbeiter getrennt das kann irgendwo nicht Ihren Ansprüchen genügen danke",d
"ich glaube ich erspare mir jegliche   Äußerung über das Service Center es ist einfach eine bodenlose Frechheit danke",d
"ich war sehr zufrieden es war eine junge Dame und war äußerst  freundlich und auch zuvorkommend also das  sollte in der Dienstleistung Schule machen  weiter",0
"das Gespräch war noch nicht zu Ende und schon kam  die Stimme mit der Beurteilung  das  fand ich gar nicht gut",b
"ich war zufrieden",0
"ich habe am zehnten zwölften heute mir Frau  telefoniert wegen Reklamation meine beiden Rechnungen vom November und Dezember sind fasch und beträgt doppelt berechnet nur weil ich umgezogen bin  ich habe jahrelang eine Rechnung um fünfzig Euro und bekomme plötzlich im November eine Rechnung von hundert fünf und dreißig Euro und jetzt im Dezember von hundert drei und achtzig Euro nur weil ich umgezogen bin aber noch die gleiche Telefonnummer habe ich bin äußerst ärgerlich weil keine Gutschriften  erfolgen ich bin äußerst verärgert",4
